id,name,artist,album
TR:1682900,Raising Kids,Aries Spears,"Hollywood, Look I'm Smiling"
TR:5264511,Moss,Daniel Tosh,People Pleaser
TR:5264509,Coquelicot,Daniel Tosh,People Pleaser
TR:5264513,Puce,Daniel Tosh,People Pleaser
TR:1541128,Politics And Racism,Eddie Murphy (Comedy),Eddie Murphy: Comedian (Explicit)
TR:10740863,You Put This In My Bag,Kevin Hart,What Now?
TR:1541123,Singers,Eddie Murphy (Comedy),Eddie Murphy: Comedian (Explicit)
TR:10514452,Whitewater Rafting,Kevin Hart,I'm A Grown Little Man (Explicit)
TR:1541126,The Barbeque,Eddie Murphy (Comedy),Eddie Murphy: Comedian (Explicit)
TR:9675877,Hollywood,Katt Williams,"Pimp Chronicles, Pt. 1"
TR:1699573,Drinking Fathers / Effrom,Eddie Murphy (Comedy),Eddie Murphy (Explicit)
TR:1588914,Commercials,Katt Williams,Live: Let A Playa Play (Explicit)
TR:1699563,Pimp Decisions / 'xmas,Katt Williams,Live: Let A Playa Play (Explicit)
TR:5495090,Does This Make Me Gay?,Kevin Hart,Seriously Funny (Explicit)
TR:3036345,Human Rights,Katt Williams,Priceless
TR:1905682,Taking It With Him,Kevin Hart,Laugh At My Pain
TR:1844558,Video Killed the Radio Star,Pentatonix,"The Sing-Off: Season 3, Episode 5 - Guilty Pleasures"
TR:1600185,Michael Jackson (2006),Katt Williams,"Pimp Chronicles, Pt. 1 (Explicit)"
TR:2070264,Domestic Abuse (GH Version),Chris Rock,Cheese And Crackers - The Greatest Bits
TR:1602649,Skeleton In Closet,Eddie Murphy (Comedy),Greatest Comedy Hits (Explicit)
TR:1699571,Faggots / Buckwheat,Eddie Murphy (Comedy),Eddie Murphy (Explicit)
TR:1682899,Airport Horror Films,Aries Spears,"Hollywood, Look I'm Smiling"
TR:10514458,Women Push Your Buttons,Kevin Hart,I'm A Grown Little Man (Explicit)
TR:6878873,On the Loose (Side 2),Redd Foxx,On The Loose: Recorded Live! (Single) (Explicit)
TR:5495087,My Biggest Fear,Kevin Hart,Seriously Funny (Explicit)
TR:1699572,Black Movie Theatres / Talking Cars,Eddie Murphy (Comedy),Eddie Murphy (Explicit)
TR:10514451,Phobias,Kevin Hart,I'm A Grown Little Man (Explicit)
TR:1700189,Crack Dealers / Shopping In Cincinnati / Haters In Cincinnati / Spinner Rims #1 / Katt Williams' Day,Katt Williams,Live: Let A Playa Play (Explicit)
TR:1905681,Funeral,Kevin Hart,Laugh At My Pain
TR:1682896,Speak English,Aries Spears,"Hollywood, Look I'm Smiling"
TR:10514461,Damn Kids,Kevin Hart,I'm A Grown Little Man (Explicit)
TR:1588922,Relationships,Katt Williams,Live: Let A Playa Play (Explicit)
TR:1602647,Hit By A Car,Eddie Murphy (Comedy),Greatest Comedy Hits (Explicit)
TR:1774445,Make It Shine (Victorious Theme) (feat. Victoria Justice),Victorious Cast,Victorious: Music From The Hit TV Show
TR:2361574,Mirrors,Anthem Lights,"Anthem Lights Covers, Pt. II"
TR:10107902,Say Something,Jasmine Thompson,Another Bundle of Tantrums
TR:9799348,"Crossing Field (From ""Sword Art Online"")",AmaLee,Link Start
TR:10107899,All of Me,Jasmine Thompson,Another Bundle of Tantrums
TR:2170428,Stay,Megan Nicole,Stay (Single)
TR:5359914,7 Years,Jasmine Thompson,7 Years (Single)
TR:9799350,"Overfly (From ""Sword Art Online"")",AmaLee,Link Start
TR:7072670,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)",Jessie J,Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack)
TR:2466239,Babies Are Magic,Jim Gaffigan,Obsessed
TR:2466235,Bars,Jim Gaffigan,Obsessed
